	Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes
0	prerank	Formation Of A Pool Of Free 40S Subunits R-HSA-72689	-0.9305933936724392	-3.0918077840031097	0.0	0.0	0.0	86/98	4.58%	RPS4Y1;RSL24D1;RPS28;RPL36AL;EIF3D;RPS21;RPL36;EIF3M;FAU;RPL35;RPS5;RPL38;RPS16;RPS15;EIF3F;RPS29;RPL28;RPL18;RPL36A;RPL18A;RPLP2;EIF3G;RPS20;RPS13;RPS10;RPS2;RPS19;RPL37;EIF3H;EIF3I;RPL32;RPS27;RPL34;RPL8;RPL14;RPL29;EIF3K;RPS9;RPS14;RPL35A;RPL11;RPL31;RPL37A;RPS12;RPSA;UBA52;RPL30;RPLP0;RPL39;RPL10A;EIF3L;RPL27A;RPL22;RPS6;EIF3C;RPS17;RPL9;RPL19;RPLP1;RPL12;RPS3;RPS27A;RPL5;RPL26;RPL41;RPS11;RPS15A;RPS25;EIF3E;RPL13A;RPL21;RPS7;RPS3A;RPL7A;RPS23;RPL7;RPL15;RPL23A;RPL27;RPL23;RPL6;RPL22L1;RPL4;RPS8;RPL3;EIF3A
1	prerank	Cap-dependent Translation Initiation R-HSA-72737	-0.9048668314534298	-3.037197310318273	0.0	0.0	0.0	92/116	4.65%	RPS4Y1;RSL24D1;RPS28;RPL36AL;EIF3D;RPS21;RPL36;EIF3M;FAU;RPL35;RPS5;RPL38;PABPC1;RPS16;RPS15;EIF3F;RPS29;RPL28;RPL18;RPL36A;RPL18A;RPLP2;EIF3G;RPS20;RPS13;RPS10;RPS2;RPS19;RPL37;EIF3H;EIF3I;RPL32;RPS27;EIF4B;RPL34;RPL8;RPL14;RPL29;EIF3K;RPS9;RPS14;RPL35A;RPL11;RPL31;RPL37A;RPS12;RPSA;UBA52;RPL30;RPLP0;RPL39;RPL10A;EIF3L;RPL27A;RPL22;RPS6;EIF3C;EIF4A1;RPS17;RPL9;RPL19;RPLP1;RPL12;RPS3;RPS27A;RPL5;RPL26;RPL41;RPS11;RPS15A;RPS25;EIF3E;RPL13A;RPL21;RPS7;EIF4A2;RPS3A;RPL7A;RPS23;RPL7;RPL15;RPL23A;EIF2S3;RPL27;RPL23;RPL6;RPL22L1;RPL4;RPS8;RPL3;EIF3A;EIF2S2
2	prerank	Eukaryotic Translation Termination R-HSA-72764	-0.9250767258303997	-3.0146223875921687	0.0	0.0	0.0	76/89	4.52%	RPS4Y1;RSL24D1;RPS28;RPL36AL;RPS21;RPL36;FAU;RPL35;RPS5;RPL38;RPS16;RPS15;RPS29;RPL28;RPL18;RPL36A;RPL18A;RPLP2;RPS20;RPS13;RPS10;RPS2;RPS19;RPL37;RPL32;RPS27;RPL34;RPL8;RPL14;RPL29;RPS9;RPS14;RPL35A;RPL11;RPL31;RPL37A;RPS12;RPSA;UBA52;RPL30;RPLP0;RPL39;RPL10A;RPL27A;RPL22;RPS6;RPS17;RPL9;RPL19;RPLP1;RPL12;RPS3;RPS27A;RPL5;RPL26;RPL41;RPS11;RPS15A;RPS25;RPL13A;RPL21;RPS7;RPS3A;RPL7A;RPS23;RPL7;RPL15;RPL23A;RPL27;RPL23;TRMT112;RPL6;RPL22L1;RPL4;RPS8;RPL3
3	prerank	L13a-mediated Translational Silencing Of Ceruloplasmin Expression R-HSA-156827	-0.9156765240194805	-3.0024788741734207	0.0	0.0	0.0	92/108	4.65%	RPS4Y1;RSL24D1;RPS28;RPL36AL;EIF3D;RPS21;RPL36;EIF3M;FAU;RPL35;RPS5;RPL38;PABPC1;RPS16;RPS15;EIF3F;RPS29;RPL28;RPL18;RPL36A;RPL18A;RPLP2;EIF3G;RPS20;RPS13;RPS10;RPS2;RPS19;RPL37;EIF3H;EIF3I;RPL32;RPS27;EIF4B;RPL34;RPL8;RPL14;RPL29;EIF3K;RPS9;RPS14;RPL35A;RPL11;RPL31;RPL37A;RPS12;RPSA;UBA52;RPL30;RPLP0;RPL39;RPL10A;EIF3L;RPL27A;RPL22;RPS6;EIF3C;EIF4A1;RPS17;RPL9;RPL19;RPLP1;RPL12;RPS3;RPS27A;RPL5;RPL26;RPL41;RPS11;RPS15A;RPS25;EIF3E;RPL13A;RPL21;RPS7;EIF4A2;RPS3A;RPL7A;RPS23;RPL7;RPL15;RPL23A;EIF2S3;RPL27;RPL23;RPL6;RPL22L1;RPL4;RPS8;RPL3;EIF3A;EIF2S2
4	prerank	GTP Hydrolysis And Joining Of 60S Ribosomal Subunit R-HSA-72706	-0.9103051413162505	-2.978030504971307	0.0	0.0	0.0	91/109	4.65%	RPS4Y1;RSL24D1;RPS28;RPL36AL;EIF3D;RPS21;RPL36;EIF3M;FAU;RPL35;RPS5;RPL38;RPS16;RPS15;EIF3F;RPS29;RPL28;RPL18;RPL36A;RPL18A;RPLP2;EIF3G;RPS20;RPS13;RPS10;RPS2;RPS19;RPL37;EIF3H;EIF3I;RPL32;RPS27;EIF4B;RPL34;RPL8;RPL14;RPL29;EIF3K;RPS9;RPS14;RPL35A;RPL11;RPL31;RPL37A;RPS12;RPSA;UBA52;RPL30;RPLP0;RPL39;RPL10A;EIF3L;RPL27A;RPL22;RPS6;EIF3C;EIF4A1;RPS17;RPL9;RPL19;RPLP1;RPL12;RPS3;RPS27A;RPL5;RPL26;RPL41;RPS11;RPS15A;RPS25;EIF3E;RPL13A;RPL21;RPS7;EIF4A2;RPS3A;RPL7A;RPS23;RPL7;RPL15;RPL23A;EIF2S3;RPL27;RPL23;RPL6;RPL22L1;RPL4;RPS8;RPL3;EIF3A;EIF2S2
5	prerank	Selenocysteine Synthesis R-HSA-2408557	-0.9250510566271755	-2.9730421541175835	0.0	0.0	0.0	76/90	4.52%	RPS4Y1;RSL24D1;RPS28;RPL36AL;RPS21;RPL36;FAU;RPL35;RPS5;RPL38;RPS16;RPS15;RPS29;RPL28;RPL18;RPL36A;RPL18A;RPLP2;RPS20;RPS13;RPS10;RPS2;RPS19;RPL37;RPL32;RPS27;RPL34;RPL8;RPL14;RPL29;RPS9;RPS14;RPL35A;RPL11;RPL31;RPL37A;RPS12;RPSA;SARS1;UBA52;RPL30;RPLP0;RPL39;RPL10A;RPL27A;RPL22;RPS6;RPS17;RPL9;RPL19;RPLP1;RPL12;RPS3;RPS27A;RPL5;RPL26;RPL41;RPS11;RPS15A;RPS25;RPL13A;RPL21;RPS7;RPS3A;RPL7A;RPS23;RPL7;RPL15;RPL23A;RPL27;RPL23;RPL6;RPL22L1;RPL4;RPS8;RPL3
6	prerank	Response Of EIF2AK4 (GCN2) To Amino Acid Deficiency R-HSA-9633012	-0.9030198740755428	-2.967748958776953	0.0	0.0	0.0	81/98	4.65%	RPS4Y1;RSL24D1;CEBPB;RPS28;RPL36AL;RPS21;RPL36;FAU;DDIT3;RPL35;RPS5;RPL38;RPS16;RPS15;RPS29;RPL28;RPL18;RPL36A;RPL18A;RPLP2;RPS20;RPS13;RPS10;RPS2;RPS19;RPL37;RPL32;RPS27;RPL34;RPL8;RPL14;RPL29;RPS9;RPS14;RPL35A;RPL11;RPL31;RPL37A;RPS12;RPSA;UBA52;RPL30;RPLP0;RPL39;RPL10A;RPL27A;RPL22;RPS6;RPS17;RPL9;RPL19;RPLP1;RPL12;RPS3;RPS27A;RPL5;RPL26;RPL41;RPS11;RPS15A;RPS25;RPL13A;RPL21;RPS7;RPS3A;RPL7A;RPS23;ATF3;RPL7;RPL15;RPL23A;EIF2S3;RPL27;RPL23;RPL6;TRIB3;RPL22L1;RPL4;RPS8;RPL3;EIF2S2
7	prerank	Peptide Chain Elongation R-HSA-156902	-0.9298403666414182	-2.9448096474264114	0.0	0.0	0.0	76/86	4.52%	RPS4Y1;RSL24D1;RPS28;RPL36AL;RPS21;RPL36;FAU;RPL35;RPS5;RPL38;RPS16;RPS15;RPS29;RPL28;RPL18;RPL36A;RPL18A;RPLP2;RPS20;RPS13;RPS10;RPS2;RPS19;RPL37;RPL32;RPS27;RPL34;RPL8;RPL14;RPL29;RPS9;RPS14;RPL35A;RPL11;RPL31;RPL37A;RPS12;RPSA;UBA52;RPL30;RPLP0;RPL39;RPL10A;RPL27A;RPL22;RPS6;RPS17;RPL9;RPL19;RPLP1;RPL12;RPS3;RPS27A;RPL5;RPL26;RPL41;RPS11;RPS15A;RPS25;RPL13A;RPL21;RPS7;RPS3A;RPL7A;RPS23;RPL7;RPL15;RPL23A;EEF2;RPL27;RPL23;RPL6;RPL22L1;RPL4;RPS8;RPL3
8	prerank	Nonsense Mediated Decay (NMD) Enhanced By Exon Junction Complex (EJC) R-HSA-975957	-0.8736811067786724	-2.9039506517574702	0.0	0.0	0.0	78/112	4.52%	RPS4Y1;RSL24D1;RPS28;RPL36AL;RPS21;RPL36;FAU;RPL35;RPS5;RPL38;PABPC1;RPS16;RPS15;RPS29;RPL28;RPL18;RPL36A;RPL18A;RPLP2;RPS20;RPS13;RPS10;RPS2;RPS19;RPL37;RPL32;RPS27;RPL34;RPL8;RPL14;RPL29;RPS9;RPS14;RPL35A;RPL11;RPL31;RPL37A;RPS12;RPSA;UBA52;RPL30;RPLP0;RPL39;RPL10A;RPL27A;RPL22;RPS6;RPS17;RPL9;RPL19;RPLP1;RPL12;RPS3;RPS27A;RPL5;RPL26;RPL41;RPS11;RPS15A;RPS25;RPL13A;RPL21;RPS7;RPS3A;RPL7A;RPS23;RPL7;RPL15;CASC3;RPL23A;RPL27;RPL23;UPF2;RPL6;RPL22L1;RPL4;RPS8;RPL3
9	prerank	Viral mRNA Translation R-HSA-192823	-0.9140769150660086	-2.9032274575429953	0.0	0.0	0.0	75/90	4.52%	RPS4Y1;RSL24D1;RPS28;RPL36AL;RPS21;RPL36;FAU;RPL35;RPS5;RPL38;RPS16;RPS15;RPS29;RPL28;RPL18;RPL36A;RPL18A;RPLP2;RPS20;RPS13;RPS10;RPS2;RPS19;RPL37;RPL32;RPS27;RPL34;RPL8;RPL14;RPL29;RPS9;RPS14;RPL35A;RPL11;RPL31;RPL37A;RPS12;RPSA;UBA52;RPL30;RPLP0;RPL39;RPL10A;RPL27A;RPL22;RPS6;RPS17;RPL9;RPL19;RPLP1;RPL12;RPS3;RPS27A;RPL5;RPL26;RPL41;RPS11;RPS15A;RPS25;RPL13A;RPL21;RPS7;RPS3A;RPL7A;RPS23;RPL7;RPL15;RPL23A;RPL27;RPL23;RPL6;RPL22L1;RPL4;RPS8;RPL3
